word,phonemes,g2p_alignment
bantam,b a n t a m,b}b a}a n}n t}t a}a m}m
bantar,b a n t a r,b}b a}a n}n t}t a}a r}r
bantaran,b a n t a r a n,b}b a}a n}n t}t a}a r}r a}a n}n
bantat,b a n t a t,b}b a}a n}n t}t a}a t}t
bantau,b a n t a u,b}b a}a n}n t}t a}a u}u
banteng,b a n t e ŋ,b}b a}a n}n t}t e}e n|g}ŋ
banter,b a n t ə r,b}b a}a n}n t}t e}ə r}r
banteras,b a n t ə r a s,b}b a}a n}n t}t e}ə r}r a}a s}s
banting,b a n t i ŋ,b}b a}a n}n t}t i}i n|g}ŋ
bantingan,b a n t i ŋ a n,b}b a}a n}n t}t i}i n|g}ŋ a}a n}n
bantu,b a n t u,b}b a}a n}n t}t u}u
bantuan,b a n t u a n,b}b a}a n}n t}t u}u a}a n}n
bantun,b a n t u n,b}b a}a n}n t}t u}u n}n
bantunya,b a n t u ɲ a,b}b a}a n}n t}t u}u n|y}ɲ a}a
bantut,b a n t u t,b}b a}a n}n t}t u}u t}t
banyak,b a ɲ a ʔ,b}b a}a n|y}ɲ a}a k}ʔ
banyakan,b a ɲ a k a n,b}b a}a n|y}ɲ a}a k}k a}a n}n
banyaknya,b a ɲ a ʔ ɲ a,b}b a}a n|y}ɲ a}a k}ʔ n|y}ɲ a}a
banyo,b a ɲ o,b}b a}a n|y}ɲ o}o
banyol,b a ɲ o l,b}b a}a n|y}ɲ o}o l}l
banyolan,b a ɲ o l a n,b}b a}a n|y}ɲ o}o l}l a}a n}n
banyu,b a ɲ u,b}b a}a n|y}ɲ u}u
banzai,b a n z a i,b}b a}a n}n z}z a}a i}i
bap,b a p,b}b a}a p}p
bapa,b a p a,b}b a}a p}p a}a
bapak,b a p a ʔ,b}b a}a p}p a}a k}ʔ
bapakisme,b a p a k i s m ə,b}b a}a p}p a}a k}k i}i s}s m}m e}ə
bapaknya,b a p a ʔ ɲ a,b}b a}a p}p a}a k}ʔ n|y}ɲ a}a
bapanda,b a p a n d a,b}b a}a p}p a}a n}n d}d a}a
bapang,b a p a ŋ,b}b a}a p}p a}a n|g}ŋ
bapet,b a p e t,b}b a}a p}p e}e t}t
baplang,b a p l a ŋ,b}b a}a p}p l}l a}a n|g}ŋ
baptis,b a p t i s,b}b a}a p}p t}t i}i s}s
baptisan,b a p t i s a n,b}b a}a p}p t}t i}i s}s a}a n}n
bar,b a r,b}b a}a r}r
bara,b a r a,b}b a}a r}r a}a
baraat,b a r a ʔ a t,b}b a}a r}r a}a|ʔ a}a t}t
barah,b a r a h,b}b a}a r}r a}a h}h
barai,b a r a i,b}b a}a r}r a}a i}i
barak,b a r a ʔ,b}b a}a r}r a}a k}ʔ
barakat,b a r a k a t,b}b a}a r}r a}a k}k a}a t}t
barakatuh,b a r a k a t u h,b}b a}a r}r a}a k}k a}a t}t u}u h}h
baran,b a r a n,b}b a}a r}r a}a n}n
barang,b a r a ŋ,b}b a}a r}r a}a n|g}ŋ
barangan,b a r a ŋ a n,b}b a}a r}r a}a n|g}ŋ a}a n}n
barangkali,b a r a ŋ k a l i,b}b a}a r}r a}a n|g}ŋ k}k a}a l}l i}i
barangnya,b a r a ŋ ɲ a,b}b a}a r}r a}a n|g}ŋ n|y}ɲ a}a
barap,b a r a p,b}b a}a r}r a}a p}p
barat,b a r a t,b}b a}a r}r a}a t}t
barau,b a r a u,b}b a}a r}r a}a u}u
barbar,b a r b a r,b}b a}a r}r b}b a}a r}r
barbarisme,b a r b a r i s m ə,b}b a}a r}r b}b a}a r}r i}i s}s m}m e}ə
barbel,b a r b e l,b}b a}a r}r b}b e}e l}l
barbiturat,b a r b i t u r a t,b}b a}a r}r b}b i}i t}t u}u r}r a}a t}t
barbur,b a r b u r,b}b a}a r}r b}b u}u r}r
bardi,b a r d i,b}b a}a r}r d}d i}i
barel,b a r ə l,b}b a}a r}r e}ə l}l
bareng,b a r ə ŋ,b}b a}a r}r e}ə n|g}ŋ
baret,b a r e t,b}b a}a r}r e}e t}t
bari,b a r i,b}b a}a r}r i}i
barid,b a r i d,b}b a}a r}r i}i d}d
barikade,b a r i k a d ə,b}b a}a r}r i}i k}k a}a d}d e}ə
baring,b a r i ŋ,b}b a}a r}r i}i n|g}ŋ
baringan,b a r i ŋ a n,b}b a}a r}r i}i n|g}ŋ a}a n}n
baris,b a r i s,b}b a}a r}r i}i s}s
barisan,b a r i s a n,b}b a}a r}r i}i s}s a}a n}n
barit,b a r i t,b}b a}a r}r i}i t}t
bariton,b a r i t o n,b}b a}a r}r i}i t}t o}o n}n
barium,b a r i u m,b}b a}a r}r i}i u}u m}m
barkas,b a r k a s,b}b a}a r}r k}k a}a s}s
barli,b a r l i,b}b a}a r}r l}l i}i
barok,b a r o ʔ,b}b a}a r}r o}o k}ʔ
barometer,b a r o m e t ə r,b}b a}a r}r o}o m}m e}e t}t e}ə r}r
baron,b a r o n,b}b a}a r}r o}o n}n
barong,b a r o ŋ,b}b a}a r}r o}o n|g}ŋ
barongan,b a r o ŋ a n,b}b a}a r}r o}o n|g}ŋ a}a n}n
barongsai,b a r o ŋ s a i,b}b a}a r}r o}o n|g}ŋ s}s a}a i}i
barracuda,b a r r a tʃ u d a,b}b a}a r}r r}r a}a c}tʃ u}u d}d a}a
barso,b a r s o,b}b a}a r}r s}s o}o
barter,b a r t ə r,b}b a}a r}r t}t e}ə r}r
baru,b a r u,b}b a}a r}r u}u
barua,b a r u a,b}b a}a r}r u}u a}a
baruh,b a r u h,b}b a}a r}r u}u h}h
barulah,b a r u l a h,b}b a}a r}r u}u l}l a}a h}h
barung,b a r u ŋ,b}b a}a r}r u}u n|g}ŋ
barunya,b a r u ɲ a,b}b a}a r}r u}u n|y}ɲ a}a
barus,b a r u s,b}b a}a r}r u}u s}s
barusan,b a r u s a n,b}b a}a r}r u}u s}s a}a n}n
barut,b a r u t,b}b a}a r}r u}u t}t
barzakh,b a r z a x,b}b a}a r}r z}z a}a k|h}x
barzanji,b a r z a n dʒ i,b}b a}a r}r z}z a}a n}n j}dʒ i}i
bas,b a s,b}b a}a s}s
basa,b a s a,b}b a}a s}s a}a
basah,b a s a h,b}b a}a s}s a}a h}h
basahan,b a s a h a n,b}b a}a s}s a}a h}h a}a n}n
basal,b a s a l,b}b a}a s}s a}a l}l
basau,b a s a u,b}b a}a s}s a}a u}u
basi,b a s i,b}b a}a s}s i}i
basikal,b a s i k a l,b}b a}a s}s i}i k}k a}a l}l
basil,b a s i l,b}b a}a s}s i}i l}l
basilika,b a s i l i k a,b}b a}a s}s i}i l}l i}i k}k a}a
basir,b a s i r,b}b a}a s}s i}i r}r
basis,b a s i s,b}b a}a s}s i}i s}s
basit,b a s i t,b}b a}a s}s i}i t}t
baskara,b a s k a r a,b}b a}a s}s k}k a}a r}r a}a
basket,b a s k e t,b}b a}a s}s k}k e}e t}t
baskom,b a s k o m,b}b a}a s}s k}k o}o m}m
basmi,b a s m i,b}b a}a s}s m}m i}i
bastar,b a s t a r,b}b a}a s}s t}t a}a r}r
basuh,b a s u h,b}b a}a s}s u}u h}h
basuhan,b a s u h a n,b}b a}a s}s u}u h}h a}a n}n
basung,b a s u ŋ,b}b a}a s}s u}u n|g}ŋ
basungan,b a s u ŋ a n,b}b a}a s}s u}u n|g}ŋ a}a n}n
basut,b a s u t,b}b a}a s}s u}u t}t
bata,b a t a,b}b a}a t}t a}a
bataan,b a t a ʔ a n,b}b a}a t}t a}a|ʔ a}a n}n
batagor,b a t a ɡ o r,b}b a}a t}t a}a g}ɡ o}o r}r
batai,b a t a i,b}b a}a t}t a}a i}i
batak,b a t a ʔ,b}b a}a t}t a}a k}ʔ
batako,b a t a k o,b}b a}a t}t a}a k}k o}o
batal,b a t a l,b}b a}a t}t a}a l}l
batalion,b a t a l i o n,b}b a}a t}t a}a l}l i}i o}o n}n
batang,b a t a ŋ,b}b a}a t}t a}a n|g}ŋ
batangan,b a t a ŋ a n,b}b a}a t}t a}a n|g}ŋ a}a n}n
batangnya,b a t a ŋ ɲ a,b}b a}a t}t a}a n|g}ŋ n|y}ɲ a}a
batara,b a t a r a,b}b a}a t}t a}a r}r a}a
batari,b a t a r i,b}b a}a t}t a}a r}r i}i
batas,b a t a s,b}b a}a t}t a}a s}s
batasan,b a t a s a n,b}b a}a t}t a}a s}s a}a n}n
batasnya,b a t a s ɲ a,b}b a}a t}t a}a s}s n|y}ɲ a}a
batel,b a t e l,b}b a}a t}t e}e l}l
baterai,b a t ə r a i,b}b a}a t}t e}ə r}r a}a i}i
bati,b a t i,b}b a}a t}t i}i
batih,b a t i h,b}b a}a t}t i}i h}h
batik,b a t i ʔ,b}b a}a t}t i}i k}ʔ
batikan,b a t i k a n,b}b a}a t}t i}i k}k a}a n}n
batil,b a t i l,b}b a}a t}t i}i l}l
batin,b a t i n,b}b a}a t}t i}i n}n
batiniah,b a t i n i a h,b}b a}a t}t i}i n}n i}i a}a h}h
batinnya,b a t i n ɲ a,b}b a}a t}t i}i n}n n|y}ɲ a}a
batis,b a t i s,b}b a}a t}t i}i s}s
batok,b a t o ʔ,b}b a}a t}t o}o k}ʔ
batu,b a t u,b}b a}a t}t u}u
batuan,b a t u a n,b}b a}a t}t u}u a}a n}n
batuk,b a t u ʔ,b}b a}a t}t u}u k}ʔ
batung,b a t u ŋ,b}b a}a t}t u}u n|g}ŋ
batunya,b a t u ɲ a,b}b a}a t}t u}u n|y}ɲ a}a
bau,b a u,b}b a}a u}u
bauk,b a u ʔ,b}b a}a u}u k}ʔ
bauksit,b a u ʔ s i t,b}b a}a u}u k}ʔ s}s i}i t}t
baun,b a u n,b}b a}a u}u n}n
baung,b a u ŋ,b}b a}a u}u n|g}ŋ
baunya,b a u ɲ a,b}b a}a u}u n|y}ɲ a}a
baur,b a u r,b}b a}a u}u r}r
bauran,b a u r a n,b}b a}a u}u r}r a}a n}n
baureksa,b a u r ə ʔ s a,b}b a}a u}u r}r e}ə k}ʔ s}s a}a
bausastra,b a u s a s t r a,b}b a}a u}u s}s a}a s}s t}t r}r a}a
bausuku,b a u s u k u,b}b a}a u}u s}s u}u k}k u}u
baut,b a u t,b}b a}a u}u t}t
bawa,b a w a,b}b a}a w}w a}a
bawaan,b a w a ʔ a n,b}b a}a w}w a}a|ʔ a}a n}n
bawab,b a w a b,b}b a}a w}w a}a b}b
bawah,b a w a h,b}b a}a w}w a}a h}h
bawahan,b a w a h a n,b}b a}a w}w a}a h}h a}a n}n
bawahannya,b a w a h a n ɲ a,b}b a}a w}w a}a h}h a}a n}n n|y}ɲ a}a
bawak,b a w a ʔ,b}b a}a w}w a}a k}ʔ
bawakan,b a w a k a n,b}b a}a w}w a}a k}k a}a n}n
bawal,b a w a l,b}b a}a w}w a}a l}l
bawang,b a w a ŋ,b}b a}a w}w a}a n|g}ŋ
bawasir,b a w a s i r,b}b a}a w}w a}a s}s i}i r}r
bawat,b a w a t,b}b a}a w}w a}a t}t
bawel,b a w e l,b}b a}a w}w e}e l}l
bawon,b a w o n,b}b a}a w}w o}o n}n
baya,b a j a,b}b a}a y}j a}a
bayak,b a j a ʔ,b}b a}a y}j a}a k}ʔ
bayam,b a j a m,b}b a}a y}j a}a m}m
bayan,b a j a n,b}b a}a y}j a}a n}n
bayang,b a j a ŋ,b}b a}a y}j a}a n|g}ŋ
bayangan,b a j a ŋ a n,b}b a}a y}j a}a n|g}ŋ a}a n}n
bayar,b a j a r,b}b a}a y}j a}a r}r
bayaran,b a j a r a n,b}b a}a y}j a}a r}r a}a n}n
bayas,b a j a s,b}b a}a y}j a}a s}s
bayata,b a j a t a,b}b a}a y}j a}a t}t a}a
bayati,b a j a t i,b}b a}a y}j a}a t}t i}i
bayi,b a j i,b}b a}a y}j i}i
bayinya,b a j i ɲ a,b}b a}a y}j i}i n|y}ɲ a}a
bayonet,b a j o n e t,b}b a}a y}j o}o n}n e}e t}t
bayu,b a j u,b}b a}a y}j u}u
bayuan,b a j u a n,b}b a}a y}j u}u a}a n}n
bayuh,b a j u h,b}b a}a y}j u}u h}h
bayung,b a j u ŋ,b}b a}a y}j u}u n|g}ŋ
bayur,b a j u r,b}b a}a y}j u}u r}r
bazar,b a z a r,b}b a}a z}z a}a r}r
bazoka,b a z o k a,b}b a}a z}z o}o k}k a}a
be,b e,b}b e}e
bea,b e a,b}b e}e a}a
beasiswa,b e a s i s w a,b}b e}e a}a s}s i}i s}s w}w a}a
bebal,b ə b a l,b}b e}ə b}b a}a l}l
beban,b ə b a n,b}b e}ə b}b a}a n}n
bebandos,b ə b a n d o s,b}b e}ə b}b a}a n}n d}d o}o s}s
bebang,b ə b a ŋ,b}b e}ə b}b a}a n|g}ŋ
bebar,b ə b a r,b}b e}ə b}b a}a r}r
bebas,b e b a s,b}b e}e b}b a}a s}s
bebaskan,b e b a s k a n,b}b e}e b}b a}a s}s k}k a}a n}n
bebat,b ə b a t,b}b e}ə b}b a}a t}t
bebe,b e b e,b}b e}e b}b e}e
bebek,b e b e ʔ,b}b e}e b}b e}e k}ʔ
bebekisme,b e b e k i s m ə,b}b e}e b}b e}e k}k i}i s}s m}m e}ə
bebel,b ə b ə l,b}b e}ə b}b e}ə l}l
bebenah,b ə b ə n a h,b}b e}ə b}b e}ə n}n a}a h}h
beber,b e b e r,b}b e}e b}b e}e r}r
beberan,b e b e r a n,b}b e}e b}b e}e r}r a}a n}n
beberapa,b ə b ə r a p a,b}b e}ə b}b e}ə r}r a}a p}p a}a
bebesaran,b ə b ə s a r a n,b}b e}ə b}b e}ə s}s a}a r}r a}a n}n
bebi,b e b i,b}b e}e b}b i}i
bebodoran,b ə b o d o r a n,b}b e}ə b}b o}o d}d o}o r}r a}a n}n
bebola,b ə b o l a,b}b e}ə b}b o}o l}l a}a
bebotoh,b ə b o t o h,b}b e}ə b}b o}o t}t o}o h}h
bebrek,b e b r e ʔ,b}b e}e b}b r}r e}e k}ʔ
bebuahan,b ə b u a h a n,b}b e}ə b}b u}u a}a h}h a}a n}n
bebuyutan,b ə b u j u t a n,b}b e}ə b}b u}u y}j u}u t}t a}a n}n
becak,b e tʃ a ʔ,b}b e}e c}tʃ a}a k}ʔ
becek,b e tʃ e ʔ,b}b e}e c}tʃ e}e k}ʔ
beceng,b e tʃ e ŋ,b}b e}e c}tʃ e}e n|g}ŋ
becermin,b ə tʃ ə r m i n,b}b e}ə c}tʃ e}ə r}r m}m i}i n}n
becuk,b ə tʃ u ʔ,b}b e}ə c}tʃ u}u k}ʔ
becus,b ə tʃ u s,b}b e}ə c}tʃ u}u s}s
beda,b e d a,b}b e}e d}d a}a
bedah,b ə d a h,b}b e}ə d}d a}a h}h
bedak,b ə d a ʔ,b}b e}ə d}d a}a k}ʔ
bedal,b ə d a l,b}b e}ə d}d a}a l}l
bedama,b ə d a m a,b}b e}ə d}d a}a m}m a}a
bedanya,b e d a ɲ a,b}b e}e d}d a}a n|y}ɲ a}a
bedaru,b ə d a r u,b}b e}ə d}d a}a r}r u}u
bedaya,b ə d a j a,b}b e}ə d}d a}a y}j a}a
bedebah,b ə d ə b a h,b}b e}ə d}d e}ə b}b a}a h}h
bedegap,b ə d ə ɡ a p,b}b e}ə d}d e}ə g}ɡ a}a p}p
bedegong,b ə d ə ɡ o ŋ,b}b e}ə d}d e}ə g}ɡ o}o n|g}ŋ
bedel,b ə d e l,b}b e}ə d}d e}e l}l
bedeng,b e d e ŋ,b}b e}e d}d e}e n|g}ŋ
bederma,b ə d ə r m a,b}b e}ə d}d e}ə r}r m}m a}a
bedil,b ə d i l,b}b e}ə d}d i}i l}l
bedilan,b ə d i l a n,b}b e}ə d}d i}i l}l a}a n}n
bedinde,b ə d i n d ə,b}b e}ə d}d i}i n}n d}d e}ə
bedol,b ə d o l,b}b e}ə d}d o}o l}l
bedolan,b ə d o l a n,b}b e}ə d}d o}o l}l a}a n}n
bedudak,b ə d u d a ʔ,b}b e}ə d}d u}u d}d a}a k}ʔ
beduk,b ə d u ʔ,b}b e}ə d}d u}u k}ʔ
bedukang,b ə d u k a ŋ,b}b e}ə d}d u}u k}k a}a n|g}ŋ
bedung,b ə d u ŋ,b}b e}ə d}d u}u n|g}ŋ
bedungan,b ə d u ŋ a n,b}b e}ə d}d u}u n|g}ŋ a}a n}n
bega,b e ɡ a,b}b e}e g}ɡ a}a
begadang,b ə ɡ a d a ŋ,b}b e}ə g}ɡ a}a d}d a}a n|g}ŋ
begah,b ə ɡ a h,b}b e}ə g}ɡ a}a h}h
begal,b e ɡ a l,b}b e}e g}ɡ a}a l}l
begana,b ə ɡ a n a,b}b e}ə g}ɡ a}a n}n a}a
begap,b ə ɡ a p,b}b e}ə g}ɡ a}a p}p
begawan,b ə ɡ a w a n,b}b e}ə g}ɡ a}a w}w a}a n}n
begini,b ə ɡ i n i,b}b e}ə g}ɡ i}i n}n i}i
beginian,b ə ɡ i n i a n,b}b e}ə g}ɡ i}i n}n i}i a}a n}n
beginilah,b ə ɡ i n i l a h,b}b e}ə g}ɡ i}i n}n i}i l}l a}a h}h
begitu,b ə ɡ i t u,b}b e}ə g}ɡ i}i t}t u}u
begituan,b ə ɡ i t u a n,b}b e}ə g}ɡ i}i t}t u}u a}a n}n
begitulah,b ə ɡ i t u l a h,b}b e}ə g}ɡ i}i t}t u}u l}l a}a h}h
bego,b e ɡ o,b}b e}e g}ɡ o}o
begonia,b e ɡ o n i a,b}b e}e g}ɡ o}o n}n i}i a}a
beguk,b ə ɡ u ʔ,b}b e}ə g}ɡ u}u k}ʔ
begundal,b ə ɡ u n d a l,b}b e}ə g}ɡ u}u n}n d}d a}a l}l
beha,b e h a,b}b e}e h}h a}a
behandel,b ə h a n d ə l,b}b e}ə h}h a}a n}n d}d e}ə l}l
bejana,b ə dʒ a n a,b}b e}ə j}dʒ a}a n}n a}a
bejat,b ə dʒ a t,b}b e}ə j}dʒ a}a t}t
bek,b e ʔ,b}b e}e k}ʔ
beka,b e k a,b}b e}e k}k a}a
bekah,b ə k a h,b}b e}ə k}k a}a h}h
bekakak,b ə k a k a ʔ,b}b e}ə k}k a}a k}k a}a k}ʔ
bekakas,b ə k a k a s,b}b e}ə k}k a}a k}k a}a s}s
bekal,b ə k a l,b}b e}ə k}k a}a l}l
bekalan,b ə k a l a n,b}b e}ə k}k a}a l}l a}a n}n
bekam,b ə k a m,b}b e}ə k}k a}a m}m
bekantan,b ə k a n t a n,b}b e}ə k}k a}a n}n t}t a}a n}n
bekap,b ə k a p,b}b e}ə k}k a}a p}p
bekas,b ə k a s,b}b e}ə k}k a}a s}s
bekat,b ə k a t,b}b e}ə k}k a}a t}t
bekatul,b ə k a t u l,b}b e}ə k}k a}a t}t u}u l}l
beken,b ə k e n,b}b e}ə k}k e}e n}n
beker,b e k ə r,b}b e}e k}k e}ə r}r
bekerdom,b ə k ə r d o m,b}b e}ə k}k e}ə r}r d}d o}o m}m
bekerja,b ə k ə r dʒ a,b}b e}ə k}k e}ə r}r j}dʒ a}a
bekerjalah,b ə k ə r dʒ a l a h,b}b e}ə k}k e}ə r}r j}dʒ a}a l}l a}a h}h
bekerjasama,b ə k ə r dʒ a s a m a,b}b e}ə k}k e}ə r}r j}dʒ a}a s}s a}a m}m a}a
bekerlapan,b ə k ə r l a p a n,b}b e}ə k}k e}ə r}r l}l a}a p}p a}a n}n
bekerlip,b ə k ə r l i p,b}b e}ə k}k e}ə r}r l}l i}i p}p
bekernyut,b ə k ə r ɲ u t,b}b e}ə k}k e}ə r}r n|y}ɲ u}u t}t
bekertak,b ə k ə r t a ʔ,b}b e}ə k}k e}ə r}r t}t a}a k}ʔ
bekicot,b ə k i tʃ o t,b}b e}ə k}k i}i c}tʃ o}o t}t
bekil,b ə k i l,b}b e}ə k}k i}i l}l
bekisar,b ə k i s a r,b}b e}ə k}k i}i s}s a}a r}r
bekleding,b ə ʔ l e d i ŋ,b}b e}ə k}ʔ l}l e}e d}d i}i n|g}ŋ
bekles,b e ʔ l e s,b}b e}e k}ʔ l}l e}e s}s
beksan,b ə ʔ s a n,b}b e}ə k}ʔ s}s a}a n}n
beku,b ə k u,b}b e}ə k}k u}u
bekuan,b ə k u a n,b}b e}ə k}k u}u a}a n}n
bekuk,b ə k u ʔ,b}b e}ə k}k u}u k}ʔ
bekuku,b ə k u k u,b}b e}ə k}k u}u k}k u}u
bel,b e l,b}b e}e l}l
bela,b e l a,b}b e}e l}l a}a
belaan,b ə l a ʔ a n,b}b e}ə l}l a}a|ʔ a}a n}n
belabas,b ə l a b a s,b}b e}ə l}l a}a b}b a}a s}s
belacak,b ə l a tʃ a ʔ,b}b e}ə l}l a}a c}tʃ a}a k}ʔ
belacan,b ə l a tʃ a n,b}b e}ə l}l a}a c}tʃ a}a n}n
belacu,b ə l a tʃ u,b}b e}ə l}l a}a c}tʃ u}u
beladau,b ə l a d a u,b}b e}ə l}l a}a d}d a}a u}u
beladu,b ə l a d u,b}b e}ə l}l a}a d}d u}u
belah,b ə l a h,b}b e}ə l}l a}a h}h
belahak,b ə l a h a ʔ,b}b e}ə l}l a}a h}h a}a k}ʔ
belahan,b ə l a h a n,b}b e}ə l}l a}a h}h a}a n}n
belai,b ə l a i,b}b e}ə l}l a}a i}i
belaian,b ə l a i a n,b}b e}ə l}l a}a i}i a}a n}n
belajar,b ə l a dʒ a r,b}b e}ə l}l a}a j}dʒ a}a r}r
belajarnya,b ə l a dʒ a r ɲ a,b}b e}ə l}l a}a j}dʒ a}a r}r n|y}ɲ a}a
belak,b ə l a ʔ,b}b e}ə l}l a}a k}ʔ
belaka,b ə l a k a,b}b e}ə l}l a}a k}k a}a
belakang,b ə l a k a ŋ,b}b e}ə l}l a}a k}k a}a n|g}ŋ
belakangan,b ə l a k a ŋ a n,b}b e}ə l}l a}a k}k a}a n|g}ŋ a}a n}n
belakangnya,b ə l a k a ŋ ɲ a,b}b e}ə l}l a}a k}k a}a n|g}ŋ n|y}ɲ a}a
belalah,b ə l a l a h,b}b e}ə l}l a}a l}l a}a h}h
belalai,b ə l a l a i,b}b e}ə l}l a}a l}l a}a i}i
belalak,b ə l a l a ʔ,b}b e}ə l}l a}a l}l a}a k}ʔ
belalakan,b ə l a l a k a n,b}b e}ə l}l a}a l}l a}a k}k a}a n}n
belalang,b ə l a l a ŋ,b}b e}ə l}l a}a l}l a}a n|g}ŋ
belam,b ə l a m,b}b e}ə l}l a}a m}m
belambang,b ə l a m b a ŋ,b}b e}ə l}l a}a m}m b}b a}a n|g}ŋ
belan,b ə l a n,b}b e}ə l}l a}a n}n
belanak,b ə l a n a ʔ,b}b e}ə l}l a}a n}n a}a k}ʔ
belanda,b ə l a n d a,b}b e}ə l}l a}a n}n d}d a}a
belandang,b ə l a n d a ŋ,b}b e}ə l}l a}a n}n d}d a}a n|g}ŋ
belandar,b ə l a n d a r,b}b e}ə l}l a}a n}n d}d a}a r}r
belandong,b ə l a n d o ŋ,b}b e}ə l}l a}a n}n d}d o}o n|g}ŋ
belandongan,b ə l a n d o ŋ a n,b}b e}ə l}l a}a n}n d}d o}o n|g}ŋ a}a n}n
belandung,b ə l a n d u ŋ,b}b e}ə l}l a}a n}n d}d u}u n|g}ŋ
belang,b ə l a ŋ,b}b e}ə l}l a}a n|g}ŋ
belanga,b ə l a ŋ a,b}b e}ə l}l a}a n|g}ŋ a}a
belangah,b ə l a ŋ a h,b}b e}ə l}l a}a n|g}ŋ a}a h}h
belangir,b ə l a ŋ i r,b}b e}ə l}l a}a n|g}ŋ i}i r}r
belangkas,b ə l a ŋ k a s,b}b e}ə l}l a}a n|g}ŋ k}k a}a s}s
belangkin,b ə l a ŋ k i n,b}b e}ə l}l a}a n|g}ŋ k}k i}i n}n
belanja,b ə l a n dʒ a,b}b e}ə l}l a}a n}n j}dʒ a}a
belanjaan,b ə l a n dʒ a ʔ a n,b}b e}ə l}l a}a n}n j}dʒ a}a|ʔ a}a n}n
belanjawan,b ə l a n dʒ a w a n,b}b e}ə l}l a}a n}n j}dʒ a}a w}w a}a n}n
belantan,b ə l a n t a n,b}b e}ə l}l a}a n}n t}t a}a n}n
belantara,b ə l a n t a r a,b}b e}ə l}l a}a n}n t}t a}a r}r a}a
belantik,b ə l a n t i ʔ,b}b e}ə l}l a}a n}n t}t i}i k}ʔ
belantika,b ə l a n t i k a,b}b e}ə l}l a}a n}n t}t i}i k}k a}a
belar,b ə l a r,b}b e}ə l}l a}a r}r
belarak,b ə l a r a ʔ,b}b e}ə l}l a}a r}r a}a k}ʔ
belas,b ə l a s,b}b e}ə l}l a}a s}s
belasah,b ə l a s a h,b}b e}ə l}l a}a s}s a}a h}h
belasan,b ə l a s a n,b}b e}ə l}l a}a s}s a}a n}n
belasting,b ə l a s t i ŋ,b}b e}ə l}l a}a s}s t}t i}i n|g}ŋ
belasungkawa,b e l a s u ŋ k a w a,b}b e}e l}l a}a s}s u}u n|g}ŋ k}k a}a w}w a}a
belasut,b ə l a s u t,b}b e}ə l}l a}a s}s u}u t}t
belat,b ə l a t,b}b e}ə l}l a}a t}t
belati,b ə l a t i,b}b e}ə l}l a}a t}t i}i
belatik,b ə l a t i ʔ,b}b e}ə l}l a}a t}t i}i k}ʔ
belatuk,b ə l a t u ʔ,b}b e}ə l}l a}a t}t u}u k}ʔ
belatung,b ə l a t u ŋ,b}b e}ə l}l a}a t}t u}u n|g}ŋ
belau,b ə l a u,b}b e}ə l}l a}a u}u
belawan,b ə l a w a n,b}b e}ə l}l a}a w}w a}a n}n
belayar,b ə l a j a r,b}b e}ə l}l a}a y}j a}a r}r
belebas,b ə l ə b a s,b}b e}ə l}l e}ə b}b a}a s}s
belebat,b ə l ə b a t,b}b e}ə l}l e}ə b}b a}a t}t
beleda,b ə l ə d a,b}b e}ə l}l e}ə d}d a}a
beledang,b ə l e d a ŋ,b}b e}ə l}l e}e d}d a}a n|g}ŋ
beledi,b ə l ə d i,b}b e}ə l}l e}ə d}d i}i
beledu,b ə l ə d u,b}b e}ə l}l e}ə d}d u}u
beleid,b ə l e i d,b}b e}ə l}l e}e i}i d}d
belekan,b e l e k a n,b}b e}e l}l e}e k}k a}a n}n
belekek,b ə l ə k e ʔ,b}b e}ə l}l e}ə k}k e}e k}ʔ
belekok,b ə l ə k o ʔ,b}b e}ə l}l e}ə k}k o}o k}ʔ
belel,b ə l e l,b}b e}ə l}l e}e l}l
belelang,b ə l e l a ŋ,b}b e}ə l}l e}e l}l a}a n|g}ŋ
belembang,b ə l ə m b a ŋ,b}b e}ə l}l e}ə m}m b}b a}a n|g}ŋ
belencong,b ə l e n tʃ o ŋ,b}b e}ə l}l e}e n}n c}tʃ o}o n|g}ŋ
belendung,b ə l ə n d u ŋ,b}b e}ə l}l e}ə n}n d}d u}u n|g}ŋ
beleng,b e l e ŋ,b}b e}e l}l e}e n|g}ŋ
belenggu,b ə l ə ŋ ɡ u,b}b e}ə l}l e}ə n|g}ŋ g}ɡ u}u
belengket,b ə l e ŋ k e t,b}b e}ə l}l e}e n|g}ŋ k}k e}e t}t
belengkok,b ə l e ŋ k o ʔ,b}b e}ə l}l e}e n|g}ŋ k}k o}o k}ʔ
belengkokan,b ə l e ŋ k o k a n,b}b e}ə l}l e}e n|g}ŋ k}k o}o k}k a}a n}n
belengkong,b ə l e ŋ k o ŋ,b}b e}ə l}l e}e n|g}ŋ k}k o}o n|g}ŋ
belengset,b ə l e ŋ s e t,b}b e}ə l}l e}e n|g}ŋ s}s e}e t}t
belenting,b ə l ə n t i ŋ,b}b e}ə l}l e}ə n}n t}t i}i n|g}ŋ
belentung,b ə l ə n t u ŋ,b}b e}ə l}l e}ə n}n t}t u}u n|g}ŋ
belera,b ə l e r a,b}b e}ə l}l e}e r}r a}a
belerang,b ə l e r a ŋ,b}b e}ə l}l e}e r}r a}a n|g}ŋ
